asset,segment,start,end,n_obs,alpha,se_alpha,beta,se_beta,gamma,se_gamma,persistence,se_persistence,small_sample_n_lt_500,full_persistence,drop_vs_full,drop_exceeds_2se
btc,FULL,2019-01-02,2025-08-31,2434,0.06943357749217326,0.014121625964759823,0.9295660793175564,0.01680209406254205,6.863805400807174e-07,0.01879806274058951,0.9989999999999998,0.023876190556176975,False,,,
btc,seg0,2019-01-02,2020-11-25,693,0.09128104525085254,0.02989691722940441,0.9075134588898085,0.06175203292130003,-0.0004109917186744614,0.08124888359469554,0.9985890082813238,0.07973383535915776,False,0.9989999999999998,0.0004109917186759793,False
btc,seg1,2020-11-25,2022-07-30,612,0.0327913142641211,0.019867729153440584,0.933220970333893,0.040171347214142325,0.0034977945869991097,0.025975464452330954,0.9677611818915136,0.046659886273888736,False,0.9989999999999998,0.031238818108486166,False
btc,seg2,2022-07-30,2025-08-31,1128,0.06958833594500019,0.03630980158451352,0.8613657298348741,0.056599154398759975,0.06327107474053102,0.0543831590599346,0.9625896031501397,0.07253446054873468,False,0.9989999999999998,0.03641039684986003,False
eth,FULL,2019-01-02,2025-08-31,2434,0.07389898394926805,0.02175690153532208,0.9251009885402075,0.03715028964215784,-5.50210493476172e-08,0.025380696801416424,0.998999944978951,0.04488375794700437,False,,,
eth,seg0,2019-01-02,2020-11-05,673,0.1363965117864787,0.06502300767956463,0.8193664647184618,0.09571723141632134,-0.049549827590886886,0.06127024758885087,0.9309880627094971,0.11970083845822513,False,0.998999944978951,0.06801188226945387,False
eth,seg1,2020-11-05,2021-11-05,365,0.04227475205646113,0.045552568017962376,0.8091041563322532,0.08317665652433771,0.07077576470726225,0.0771375643736301,0.8867667907423454,0.10237647973520442,True,0.998999944978951,0.11223315423660551,False
eth,seg2,2021-11-05,2022-11-12,372,1e-08,0.10342331741753416,0.6218890002624722,0.13139782558245677,0.33295708404682633,0.16776314345644258,0.7883675522858854,0.18707722798096643,True,0.998999944978951,0.21063239269306555,False
eth,seg3,2022-11-12,2024-02-26,471,0.0428624863752868,,0.95,,-0.012275027113045785,,0.9867249728187638,,True,0.998999944978951,0.012274972160187136,
eth,seg4,2024-02-26,2025-08-31,552,0.08457909241657285,0.06987594978259691,0.5031009540946789,0.2317711627980793,0.14489199926312107,0.11757728225547165,0.6601260461428122,0.24911167091976943,False,0.998999944978951,0.3388738988361387,False
xrp,FULL,2019-01-02,2025-08-31,2434,0.2146874461725669,0.038511551997558666,0.7771095414460812,0.03587122772870784,-0.014406024762703905,0.043611116038257715,0.9845939752372962,0.05696812245941653,False,,,
xrp,seg0,2019-01-02,2020-11-14,682,0.3,0.13904864735603814,0.6270320375343674,0.15252218044935759,-0.047758921395751656,0.1339619816245945,0.9031525768364916,0.21698846741420913,False,0.9845939752372962,0.08144139840080455,False
xrp,seg1,2020-11-14,2021-11-14,365,0.19439993395606533,0.09016476960853859,0.7607127828758616,0.1123934202330814,0.007135439094656466,0.09631185730881074,0.9586804363792553,0.15192419180242184,True,0.9845939752372962,0.02591353885804093,False
xrp,seg2,2021-11-14,2022-11-18,369,0.09874737398569486,0.06822449891716609,0.774588147793498,0.08856693602891089,0.1379206843448062,0.11228744211481531,0.942295863951596,0.12510316472503638,True,0.9845939752372962,0.04229811128570016,False
xrp,seg3,2022-11-18,2024-07-04,594,0.21609278924177658,0.09009390803360587,0.6989676898047356,0.09616095657135035,-0.1678790419069757,0.08651631998493815,0.8311209580930242,0.13869069990240518,False,0.9845939752372962,0.15347301714427197,False
xrp,seg4,2024-07-04,2025-08-31,423,0.27227073002216295,0.11828496153370763,0.6500551059440454,0.12038631702933962,-0.15334832806758347,0.11585746149417878,0.8456516719324165,0.17843748288655087,True,0.9845939752372962,0.13894230330487967,False
bnb,FULL,2019-09-02,2025-08-31,2191,0.12946059267942628,0.02979663734439151,0.8669238160853602,0.036460389189309945,-0.005231182470427477,0.029311348113871476,0.9937688175295727,0.049315193996701215,False,,,
bnb,seg0,2019-09-02,2021-01-04,490,0.14833455689033387,0.07454019673550304,0.7848372972415357,0.08772726519446092,-0.03470479117187261,0.06979963995555685,0.9158194585459334,0.12029260751329698,True,0.9937688175295727,0.0779493589836393,False
bnb,seg1,2021-01-04,2021-11-28,328,0.17800406564990306,0.07665089972386051,0.772419894031415,0.09343980994890204,-0.030939989230019952,0.07492262980497238,0.934953965066308,0.12652947730069655,True,0.9937688175295727,0.05881485246326468,False
bnb,seg2,2021-11-28,2022-12-23,390,1e-08,0.08321909529628192,0.5492011734064491,0.14278870741618516,0.42086866060591743,0.1817036997816799,0.759635513709408,0.18859504610700753,True,0.9937688175295727,0.23413330382016473,False
bnb,seg3,2022-12-23,2023-12-12,354,0.23134229251019917,0.11206838279783263,0.6996892083488849,0.27736621856029214,-0.13593699828182906,0.12455299467108939,0.8630630017181696,0.30556456558596806,True,0.9937688175295727,0.13070581581140306,False
bnb,seg4,2023-12-12,2025-08-31,628,0.0784420554455553,0.03918788694232053,0.8404805400218653,0.08368754926546786,0.028741792297807118,0.05841746520898519,0.9332934916163241,0.09691463483615337,False,0.9937688175295727,0.06047532591324856,False
ltc,FULL,2019-01-02,2025-08-31,2434,0.09436095547577654,0.017943728306728232,0.8930769996486618,0.031218041518635713,-0.0231240897511434,0.024483279928152246,0.9758759102488667,0.03803158228124369,False,,,
ltc,seg0,2019-01-02,2020-11-06,674,0.1376072781988932,0.06917468574352456,0.7534507970999771,0.1322020023808397,-0.002702239682202706,0.07655853613705411,0.8897069554577689,0.15403833595920557,False,0.9758759102488667,0.08616895479109776,False
ltc,seg1,2020-11-06,2021-11-28,387,0.0742191804001127,0.029576874621719575,0.9059048646862842,,-0.037751909827205,,0.9612480901727943,,True,0.9758759102488667,0.014627820076072329,
ltc,seg2,2021-11-28,2022-11-28,365,0.05869681506324165,0.06257306837439061,0.8312351511588938,0.08987118700852718,0.07155867146298867,0.07849926892600255,0.9257113019536298,0.11633036123724126,True,0.9758759102488667,0.050164608295236834,False
ltc,seg3,2022-11-28,2024-03-01,459,0.2067330167373367,0.11429324333872848,0.6755390977815967,0.1843538990010781,-0.23345577096213319,0.1257880222574191,0.7655442290378668,0.225842782009175,True,0.9758759102488667,0.21033168121099988,False
ltc,seg4,2024-03-01,2025-08-31,548,0.07515102822663167,0.025821497344478486,0.9031155391029472,0.0517826157534867,-0.041466865340856265,0.038440271565703406,0.9575331346591507,0.06097214641863459,False,0.9758759102488667,0.018342775589715976,False
ada,FULL,2019-01-02,2025-08-31,2434,0.1684198621888275,0.03168508985209119,0.7941652337088618,0.03660291216958769,-0.016599000257582406,0.03326292738094974,0.9542855957688982,0.051189097303207316,False,,,
ada,seg0,2019-01-02,2020-11-21,689,0.12890099917363032,0.06057967384600868,0.6619678316226882,0.12381073333895543,0.0009109420734005478,0.07563698380918184,0.7913243018330188,0.14293086756595416,False,0.9542855957688982,0.16296129393587933,False
ada,seg1,2020-11-21,2022-06-26,582,0.1580212381076863,0.0537352335108603,0.8062223731830491,0.0659772336913152,-0.036174254155431115,0.060332587428654355,0.9461564842130199,0.09027998650024353,False,0.9542855957688982,0.008129111555878255,False
ada,seg2,2022-06-26,2023-12-05,527,0.19729528852369255,0.09581748900918544,0.5414942590599819,0.2319527294026833,0.12010352522775121,0.209217957468022,0.7988413101975501,0.27189354223510454,False,0.9542855957688982,0.15544428557134804,False
ada,seg3,2023-12-05,2025-08-31,635,0.13826334101213317,0.054254768347532824,0.7794252827542529,0.07473302832340228,-0.041318453202994605,0.056439920915446425,0.8970293971648888,0.09656589242101146,False,0.9542855957688982,0.05725619860400932,False
